"연도","시도군","분기","주중/말","시간대","성별","인구수"
"2024","거제시","1분기","평일","새벽","여","13377818"
"2024","거제시","1분기","평일","새벽","남","14779832"
"2024","거제시","1분기","평일","야간","여","13335206"
"2024","거제시","1분기","평일","야간","남","14814852"
"2024","거제시","1분기","평일","오전","여","13204265"
"2024","거제시","1분기","평일","오전","남","14910191"
"2024","거제시","1분기","평일","오후","여","13136646"
"2024","거제시","1분기","평일","오후","남","14828517"
"2024","거제시","1분기","주말","새벽","여","5393717"
"2024","거제시","1분기","주말","새벽","남","5938793"
"2024","거제시","1분기","주말","야간","남","5891469"
"2024","거제시","1분기","주말","야간","여","5343472"
"2024","거제시","1분기","주말","오전","여","5290195"
"2024","거제시","1분기","주말","오전","남","5880903"
"2024","거제시","1분기","주말","오후","여","5220441"
"2024","거제시","1분기","주말","오후","남","5800701"
"2024","거제시","2분기","평일","새벽","여","13198922"
"2024","거제시","2분기","평일","새벽","남","14711839"
"2024","거제시","2분기","평일","야간","여","13147734"
"2024","거제시","2분기","평일","야간","남","14716300"
"2024","거제시","2분기","평일","오전","여","13023112"
"2024","거제시","2분기","평일","오전","남","14774892"
"2024","거제시","2분기","평일","오후","여","12971781"
"2024","거제시","2분기","평일","오후","남","14739553"
"2024","거제시","2분기","주말","새벽","남","5991026"
"2024","거제시","2분기","주말","새벽","여","5402195"
"2024","거제시","2분기","주말","야간","남","5902106"
"2024","거제시","2분기","주말","야간","여","5324317"
"2024","거제시","2분기","주말","오전","남","5923478"
"2024","거제시","2분기","주말","오전","여","5311432"
"2024","거제시","2분기","주말","오후","여","5233126"
"2024","거제시","2분기","주말","오후","남","5833417"
"2024","거제시","3분기","평일","새벽","여","13519528"
"2024","거제시","3분기","평일","새벽","남","15124403"
"2024","거제시","3분기","평일","야간","여","13446948"
"2024","거제시","3분기","평일","야간","남","15103545"
"2024","거제시","3분기","평일","오전","여","13325101"
"2024","거제시","3분기","평일","오전","남","15130096"
"2024","거제시","3분기","평일","오후","여","13245551"
"2024","거제시","3분기","평일","오후","남","15077293"
"2024","거제시","3분기","주말","새벽","여","5536425"
"2024","거제시","3분기","주말","새벽","남","6180054"
"2024","거제시","3분기","주말","야간","여","5461823"
"2024","거제시","3분기","주말","야간","남","6094381"
"2024","거제시","3분기","주말","오전","남","6107545"
"2024","거제시","3분기","주말","오전","여","5441619"
"2024","거제시","3분기","주말","오후","여","5361997"
"2024","거제시","3분기","주말","오후","남","6022417"
"2024","거제시","4분기","평일","새벽","여","13205892"
"2024","거제시","4분기","평일","새벽","남","15125680"
"2024","거제시","4분기","평일","야간","여","13163076"
"2024","거제시","4분기","평일","야간","남","15121009"
"2024","거제시","4분기","평일","오전","여","13050338"
"2024","거제시","4분기","평일","오전","남","15218112"
"2024","거제시","4분기","평일","오후","여","12973252"
"2024","거제시","4분기","평일","오후","남","15164698"
"2024","거제시","4분기","주말","새벽","여","5365562"
"2024","거제시","4분기","주말","새벽","남","6098044"
"2024","거제시","4분기","주말","야간","여","5281966"
"2024","거제시","4분기","주말","야간","남","6007381"
"2024","거제시","4분기","주말","오전","여","5253164"
"2024","거제시","4분기","주말","오전","남","6015071"
"2024","거제시","4분기","주말","오후","여","5127403"
"2024","거제시","4분기","주말","오후","남","5886460"
"2024","거창군","1분기","평일","새벽","남","2290606"
"2024","거창군","1분기","평일","새벽","여","2349448"
"2024","거창군","1분기","평일","야간","남","2309808"
"2024","거창군","1분기","평일","야간","여","2365583"
"2024","거창군","1분기","평일","오전","여","2353925"
"2024","거창군","1분기","평일","오전","남","2309811"
"2024","거창군","1분기","평일","오후","남","2319511"
"2024","거창군","1분기","평일","오후","여","2362896"
"2024","거창군","1분기","주말","새벽","남","955434"
"2024","거창군","1분기","주말","새벽","여","986653"
"2024","거창군","1분기","주말","야간","남","943343"
"2024","거창군","1분기","주말","야간","여","974028"
"2024","거창군","1분기","주말","오전","남","969129"
"2024","거창군","1분기","주말","오전","여","996253"
"2024","거창군","1분기","주말","오후","여","991588"
"2024","거창군","1분기","주말","오후","남","965172"
"2024","거창군","2분기","평일","새벽","여","2403600"
"2024","거창군","2분기","평일","새벽","남","2375469"
"2024","거창군","2분기","평일","야간","여","2405075"
"2024","거창군","2분기","평일","야간","남","2376234"
"2024","거창군","2분기","평일","오전","남","2400450"
"2024","거창군","2분기","평일","오전","여","2413206"
"2024","거창군","2분기","평일","오후","남","2399128"
"2024","거창군","2분기","평일","오후","여","2415975"
"2024","거창군","2분기","주말","새벽","여","1005653"
"2024","거창군","2분기","주말","새벽","남","985945"
"2024","거창군","2분기","주말","야간","남","986094"
"2024","거창군","2분기","주말","야간","여","1005963"
"2024","거창군","2분기","주말","오전","남","1011596"
"2024","거창군","2분기","주말","오전","여","1029228"
"2024","거창군","2분기","주말","오후","남","1012271"
"2024","거창군","2분기","주말","오후","여","1031504"
"2024","거창군","3분기","평일","새벽","여","2479137"
"2024","거창군","3분기","평일","새벽","남","2456705"
"2024","거창군","3분기","평일","야간","여","2475234"
"2024","거창군","3분기","평일","야간","남","2451588"
"2024","거창군","3분기","평일","오전","남","2477427"
"2024","거창군","3분기","평일","오전","여","2490979"
"2024","거창군","3분기","평일","오후","남","2488673"
"2024","거창군","3분기","평일","오후","여","2500091"
"2024","거창군","3분기","주말","새벽","여","1031081"
"2024","거창군","3분기","주말","새벽","남","1020296"
"2024","거창군","3분기","주말","야간","여","1033172"
"2024","거창군","3분기","주말","야간","남","1024525"
"2024","거창군","3분기","주말","오전","여","1071091"
"2024","거창군","3분기","주말","오전","남","1066110"
"2024","거창군","3분기","주말","오후","여","1088943"
"2024","거창군","3분기","주말","오후","남","1079450"
"2024","거창군","4분기","평일","새벽","여","2373290"
"2024","거창군","4분기","평일","새벽","남","2350162"
