연번,시군,관광지명,소재지,지정일,면적(제곱미터),시행청,주요개발내용,데이터기준일자
1,창원시,마금산,경상남도 창원시 의창구 북면 신촌리 일원,1986-01-23,528224 ,창원시,온천휴양형 관광지,2023-12-31
2,창원시,구산해양,경상남도 창원시 마산합포구 구산면 석곡리 일원,2011-04-21,2847253 ,창원시,해안형 관광단지,2023-12-31
3,창원시,창원웅동,경상남도 차원시 진해구 웅동,2003-10-30,2258692 ,창원시,해안형 관광단지,2023-12-31
4,진주시,오목내,경상남도 진주시 평거동 일원,1987-02-23,141614 ,진주시,진양호의 유희시설지,2023-12-31
5,통영시,도남,경상남도 통영시 도남동 일원,1983-08-01,216246 ,통영시,해상레크레이션,2023-12-31
6,사천시,실안,경상남도 사천시 실안동 일원,2000-06-26,256877 ,사천시,한려수도 해안관광지,2023-12-31
7,밀양시,표충사,경상남도 밀양시 단장면 구천리 31-2,1985-05-13,90000 ,밀양시,산악계곡형 관광지,2023-12-31
8,거제시,장목,경상남도 거제시 장목면 일원,1996-05-27,926591 ,거제시,해안휴양형,2023-12-31
9,거제시,거가대교,경상남도 거제시 장목면 유호리 농소리,2012-12-27,108166 ,거제시,해안휴양형 관광지,2023-12-31
10,거제시,거제 남부,"경상남도 거제시 남부면 탑포리, 통부면 율포리",2019-05-16,3693875 ,거제시,해안휴양형 관광단지,2023-12-31
11,의령군,벽계,경상남도 의령군 궁류면 벽계리 일원,1994-12-19,278180 ,의령군,산악계곡형 관광지,2023-12-31
12,창녕군,부곡,경상남도 창녕군 부곡면 거문리 일원,1977-06-29,775715 ,창녕군,온천휴양형 관광지,2023-12-31
13,고성군,당항포,경상남도 고성군 회화면 봉동리 950-1,1984-06-21,545830 ,고성군,이충무공 전승유적지 보호,2023-12-31
14,남해군,송정,경상남도 남해군 미조면 송정리 일원,1994-10-21,494995 ,남해군,해안휴양형 관광지,2023-12-31
15,하동군,묵계,경상남도 하동군 청암면 묵계리 일원,2008-11-06,937944 ,하동군,산악형 관광지,2023-12-31
16,산청군,금서,경상남도 산청군 금서면 매촌리 일원,1991-12-30,194800 ,산청군,산악형 관광지,2023-12-31
17,산청군,중산,경상남도 산청군 시천면 중산리 일원,1990-11-09,292515 ,산청군,산악형 관광지,2023-12-31
18,산청군,전통한방,경상남도 산청군 금서면 특리 일원,2001-06-29,294998 ,산청군,전통한방휴양관광지,2023-12-31
19,함양군,농월정,경상남도 함양군 안의면 월림리 일원,1993-11-09,138110 ,함양군,산악계곡형 관광지,2023-12-31
20,거창군,가조,경상남도 거창군 가조면 일부리 일원,1992-02-11,230674 ,거창군,온천휴양지,2023-12-31
21,거창군,수승대,경상남도 거창군 위천면 황산리 890,1986-08-20,297679 ,거창군,산악계곡형관광지,2023-12-31
22,합천군,미숭산,경상남도 합천군 야로면 미숭산로 343,1985-09-18,227220 ,합천군,사적지보호 및 청소년수련장,2023-12-31
23,합천군,보조댐,경상남도 합천군 대병면 회양리 일원,1989-12-18,82637 ,합천군,산악호반형 휴양지,2023-12-31
24,합천군,합천호,경상남도 합천군 대병면 일원,1988-12-26,286159 ,합천군,산악호반형 휴양지,2023-12-31
