행정구역명,도로등급,전체(m),포장도(m),미포장도(m),미개통도(m)
경상남도,고속국도,505790,505790,0,0
경상남도,일반국도,1539579,1510769,6840,21970
경상남도,지방도,2423618,1990102,182962,250554
경상남도,시도,4704857,3699952,4691,1000214
경상남도,군도,3393160,2082096,875306,435758
창원시,고속국도,32130,32130,0,0
창원시,일반국도,207927,198377,1400,8150
창원시,지방도,100433,64803,18230,17400
창원시,시도,1420116,1298035,0,122081
창원시,군도,156400,89900,57000,9500
진주시,고속국도,54570,54570,0,0
진주시,일반국도,78525,78525,0,0
진주시,지방도,206271,154990,22631,28650
진주시,시도,488098,398226,0,89872
진주시,군도,184500,110100,72900,1500
통영시,고속국도,13290,13290,0,0
통영시,일반국도,38860,38210,0,650
통영시,지방도,73520,73520,0,0
통영시,시도,411689,390529,0,21160
통영시,군도,158900,139600,0,19300
사천시,고속국도,20800,20800,0,0
사천시,일반국도,53524,53524,0,0
사천시,지방도,119296,116996,1800,500
사천시,시도,355061,230106,891,124064
사천시,군도,182100,108636,32244,41220
김해시,고속국도,80900,80900,0,0
김해시,일반국도,53998,53998,0,0
김해시,지방도,89500,74270,0,15230
김해시,시도,905910,428361,0,477549
김해시,군도,167900,141100,0,26800
밀양시,고속국도,23760,23760,0,0
밀양시,일반국도,118458,115058,0,3400
밀양시,지방도,125383,105962,5870,13551
밀양시,시도,233866,230192,0,3674
밀양시,군도,211700,134200,54200,23300
거제시,일반국도,89495,87295,0,2200
거제시,지방도,110880,106360,4520,0
거제시,시도,331533,199363,0,132170
거제시,군도,154820,143300,0,11520
양산시,고속국도,30130,30130,0,0
양산시,일반국도,41662,41662,0,0
양산시,지방도,142073,107471,1500,33102
양산시,시도,558584,525140,3800,29644
의령군,일반국도,47388,47388,0,0
의령군,지방도,118049,82970,24987,10092
의령군,군도,266400,120068,123632,22700
함안군,고속국도,51510,51510,0,0
함안군,일반국도,43720,43720,0,0
함안군,지방도,148896,105330,21060,22506
함안군,군도,193700,119067,74633,0
창녕군,고속국도,31180,31180,0,0
창녕군,일반국도,101071,101071,0,0
창녕군,지방도,119810,116450,0,3360
창녕군,군도,250000,142950,8500,98550
고성군,고속국도,23220,23220,0,0
고성군,일반국도,92383,91383,0,1000
고성군,지방도,174161,143648,4140,26373
고성군,군도,211300,92453,116137,2710
남해군,일반국도,86908,85008,0,1900
남해군,지방도,106300,93560,0,12740
남해군,군도,131500,102700,18300,10500
하동군,고속국도,16170,16170,0,0
하동군,일반국도,88048,85908,2140,0
하동군,지방도,157320,110093,19382,27845
하동군,군도,233000,176442,36740,19818
산청군,고속국도,30110,30110,0,0
산청군,일반국도,109970,106670,3300,0
산청군,지방도,132540,102120,16200,14220
산청군,군도,225240,136340,70300,18600
함양군,고속국도,56440,56440,0,0
함양군,일반국도,76746,76746,0,0
함양군,지방도,129480,115480,4200,9800
함양군,군도,203500,108180,67720,27600
거창군,고속국도,29340,29340,0,0
거창군,일반국도,89424,87024,0,2400
거창군,지방도,164940,135908,22952,6080
거창군,군도,216400,97160,35100,84140
합천군,고속국도,12240,12240,0,0
합천군,일반국도,121472,119202,0,2270
합천군,지방도,204766,180171,15490,9105
합천군,군도,245800,119900,107900,18000
