번호,관광지명,주소,지도 x좌표,지도 y좌표,전화번호,홈페이지주소(URL),등록일,지역,1차분류,2차분류,담당기관
1,거제 송구영신 소망길 장승포항 야경,경상남도 거제시 장승포해안로 9 (장승포동),34.86375625,128.7312821,055-639-4179,,2023-06-22,거제시,자연관광,섬과바다,거제시
2,남해 설리해수욕장,경상남도 남해군 미조면 미송로303번길 48-1,34.70751998,128.0261752,055-860-3073,,2023-06-21,남해군,자연관광,섬과바다,남해군
3,창원 광암해수욕장,경상남도 창원시 마산합포구 진동면 광암해안길 117-22,35.10214834,128.5021203,055-225-6861,,2023-06-21,창원시,자연관광,섬과바다,창원시
4,고성 만화방초,경상남도 고성군 거류면 은황길 82-91,34.96036825,128.3855012,,https://blog.naver.com/man-hwa,2023-06-20,고성군,자연관광,자연공원,만화방초
5,양산 물금 서리단길,경남 양산시 물금읍 물금리 841-13,35.31056556,128.9844537,055-392-3233,,2023-06-16,양산시,문화관광,박물관과문화채널,양산시
6,남해 이순신순국공원,경남 남해군 고현면 차면리 841,34.91504947,127.8568519,055-863-4025,https://www.namhae.go.kr/tour/00917/00022/00146.web,2023-06-08,남해군,문화관광,공원과유원지,남해군
7,창녕 남지 개비리,경남 창녕군 남지읍 용산리 160-2,35.39456103,128.4405466,055-530-1523,,2023-05-02,창녕군,자연관광,생태관광,창녕군
8,산청 중산두류생태탐방로,경남 산청군 시천면 중산리 807,35.29068629,127.7566307,055-970-6000,,2023-05-02,산청군,자연관광,산과계곡,산청군
9,김해 진례 대나무숲,경상남도 김해시 진례면 서부로 978-92,35.21988248,128.7730218,055-330-4448,,2023-05-02,김해시,자연관광,생태관광,김해시
10,고성 구절산 폭포암,경상남도 고성군 동해면 외곡1길 535,35.01464559,128.4199522,055-670-2234,,2023-05-02,고성군,문화관광,사찰과건축물 ,고성군
11,밀양 표충사 명품 산책로,경상남도 밀양시 단장면 표충로 1338,35.53226072,128.9590442,055-359-5788,,2023-04-27,밀양시,자연관광,산과계곡,밀양시
12,양산 통도사 무풍한송로,경상남도 양산시 하북면 통도사로 108,35.47542097,129.0566502,055-392-2114,,2023-04-17,양산시,자연관광,산과계곡,양산시
13,진주 음악분수,경남 진주시 신안동 274-2,35.18579076,128.0753911,055-749-7499,,2023-03-30,진주시,문화관광,공원과유원지,진주시
14,김해 한옥체험관,경상남도 김해시 왕릉길 40 (봉황동),35.23436297,128.8766847,055-322-4735,https://www.ghhanok.or.kr,2023-03-16,김해시,문화관광,문화체험장,김해문화재단
15,거제 수협효시공원,경상남도 거제시 사등면 가조서로 7,34.92951635,128.5251429,055-639-8340,,2023-03-16,거제시,문화관광,박물관과문화채널,거제해양관광개발공사
16,창녕 화왕산 자연휴양림,경상남도 창녕군 고암면 청간길 128-126,35.54693079,128.5673145,055-530-1665,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030015,2023-03-16,창녕군,레저관광,캠프장과수련시설,창녕군
17,사천 첨단항공우주과학관,경상남도 사천시 사남면 공단1로 108,35.07090584,128.0634576,055-831-3344,,2023-03-15,사천시,문화관광,박물관과문화채널,사천시
18,사천 무지갯빛 해안도로,경남 사천시 용현면 금문리 212-3,35.01036333,128.0483356,055-831-2728,,2023-03-15,사천시,문화관광,다리와도로,사천시
19,하동 해뜰목장,경상남도 하동군 옥종면 양구1길 31-108,35.17485236,127.8720524,055-884-0795,http://www.farmgw.kr/,2023-03-03,하동군,자연관광,생태관광,해뜰목장
20,양산 내화체험목장,경상남도 양산시 원동면 내화절골길 110,35.36699216,128.9705133,055-384-2446,http://xn--220bw2q6yk75ek8mhva.com/,2023-03-03,양산시,자연관광,생태관광,내화체험목장
21,산청 청계양떼목장,경상남도 산청군 단성면 호암로 896-5,35.33892529,127.9067216,,,2023-03-03,산청군,자연관광,생태관광,청계양떼목장
22,김해 양떼목장(대동승마랜드),경상남도 김해시 대동면 대동로485번길 132,35.24879111,128.9624783,055-335-2877,,2023-03-03,김해시,자연관광,자연공원,대동승마랜드
23,거제 솦소리공원   양떼목장,경남 거제시 거제면 서상리 산 13,34.86012481,128.6053,055-639-6307,,2023-03-03,거제시,자연관광,생태관광,거제시
24,"함양 대봉산휴양밸리(모노레일, 집라인)",경상남도 함양군 병곡면 병곡지곡로 331,35.56801875,127.7152697,055-963-2025,https://www.hygn.go.kr/daebongvalley.web,2023-02-22,함양군,레저관광,종합레포츠시설,함양군
25,하동 화개 정금차밭,경남 하동군 화개면 정금리 산 168-1,35.21389651,127.6403839,055-880-2834,http://www.hadong.go.kr/,2023-02-22,하동군,자연관광,생태관광,하동군
26,창녕 낙동강 유채단지,경남 창녕군 남지읍 남지리 868-9,35.38631143,128.4726984,055-530-1651,https://www.cng.go.kr/tour/festival/00001340.web,2023-02-22,창녕군,자연관광,강과호수,창녕군
27,거제 공곶이,경남 거제시 일운면 와현리 94-2,34.79468461,128.7142719,055-639-4171,https://tour.geoje.go.kr,2023-02-22,거제시,자연관광,생태관광,거제시
28,밀양 밀양강 벚꽃길,경남 밀양시 내일동 649-3,35.49187208,128.7610484,055-359-5767,,2023-02-22,밀양시,자연관광,강과호수,밀양시
29,통영 산유골수목공원,경상남도 통영시 산양읍 산유길 112,34.79504021,128.4038325,055-650-1414,https://www.utour.go.kr/01198/01215/04646.web,2023-02-22,통영시,자연관광,자연공원,통영시
30,거제 구조라진성(feat. 샛바람소리길),경남 거제시 일운면 구조라리 827,34.8037687,128.695828,055-639-4179,,2023-02-21,거제시,문화관광,기념물,거제시
31,하동 하동읍성,경남 하동군 고전면 고하리 산 151,35.02772224,127.8313296,055-880-2370,,2023-02-21,하동군,문화관광,기념물,하동군
32,통영 국제음악당,경상남도 통영시 큰발개1길 38 (도남동),34.82599385,128.4400333,055-650-0400,https://timf.org/kr/,2023-02-10,통영시,문화관광,문화체험장,통영국제음악재단
33,양산 엄정행 뮤지엄,경상남도 양산시 신기강변로 26 (신기동),35.35002163,129.0341247,055-392-2114,,2023-02-10,양산시,문화관광,문화체험장,양산시
34,산청 기산국악당,경상남도 산청군 단성면 상동길 69,35.27616022,127.9342485,070-8199-7107,http://namsayedam.com/?page_id=45,2023-02-10,산청군,문화관광,문화체험장,남사예담촌
35,김해 문화의전당,경상남도 김해시 김해대로 2060 (내동),35.24373381,128.8694108,055-320-1234,https://www.gasc.or.kr/,2023-02-10,김해시,문화관광,문화체험장,김해시
36,의령 곤충생태학습관,경상남도 의령군 의령읍 의합대로 28,35.31928659,128.28434,055-572-0871,,2023-02-10,의령군,문화관광,박물관과문화채널,의령군
37,김해 드라이브코스[진례면 진례로 275-35 ~ 진영읍 진영로 145-1],경상남도 김해시 진례면 진례로 275-35,35.25149585,128.7458503,055-330-4448,,2023-02-09,김해시,문화관광,다리와도로,김해시
38,거창 창포원,경상남도 거창군 남상면 창포원길 21-1,35.65495682,127.939573,055-940-8840,https://www.geochang.go.kr/changpowon/Index.do,2023-02-09,창녕군,자연관광,생태관광,창녕군
39,산청 드라이브코스[시천면 벚꽃길-시천면 국동마을 ~ 양수발전소 도로변],경남 산청군 시천면 신천리 506,35.29737918,127.7558373,055-970-6000,,2023-02-09,산청군,문화관광,다리와도로,산청군
40,양산 드라이브코스[원동역과 벽화마을],경상남도 양산시 원동면 원동마을길 13,35.36172042,128.9210985,055-940-3114,,2023-02-09,양산시,문화관광,다리와도로,양산시
41,창원 드라이브코스[구산면 해양관광로 ~ 진동면 미더덕로 ~  회전로],경상남도 창원시 마산합포구 구산면 구산로 554,35.11970441,128.5808146,055-225-3707,,2023-02-09,창원시,문화관광,다리와도로,창원시
42,통영 드라이브코스[산양관광일주도로-산양읍 영운리 ~ 남평리],경상남도 통영시 산양읍 산양일주로 1683-25,34.80358953,128.3862262,055-650-2570,,2023-02-09,통영시,문화관광,다리와도로,통영시
43,합천 드라이브코스[백리벚꽃길-합천읍 ~용주면 ~ 대병면 ~ 봉산면],경남 합천군 합천읍 합천리 930,35.57384818,128.164184,055-930-4668,,2023-02-09,합천군,문화관광,다리와도로,합천군
44,사천 드라이브코스[노을빛카페거리-실안동 ~ 송포동 일원],경남 사천시 송포동 1344-2,34.96564303,128.0430109,055-831-2725,,2023-02-06,사천시,문화관광,다리와도로,사천시
45,거창 드라이브코스[월성계곡 병곡길],경남 거창군 북상면 월성리 1794-4,35.76408446,127.7430095,055-940-3423,,2023-02-06,거창군,문화관광,다리와도로,거창군
46,거제 드라이브코스 [여차 ~ 홍포 해안도로 + 내촐 유채밭 + 학동 벚꽃길],경남 거제시 동부면 학동리 산 47-10,34.88055431,128.6207892,055-639-4179,,2023-02-06,거제시,문화관광,다리와도로,거제시
47,고성 장산숲,경남 고성군 마암면 장산리 230-2,35.05932254,128.3266657,055-670-2114,,2023-01-26,고성군,자연관광,자연공원,고성군
48,거창 하늘호수,경상남도 거창군 북상면 송계로 793,35.78355804,127.8145815,070-8856-3434,,2023-01-19,거창군,문화관광,문화체험장,거창군
49,거제 옥화마을,경상남도 거제시 일운면 옥림4길 11  옥림마을회관,34.85006328,128.7206108,055-639-4179,,2023-01-13,거제시,문화관광,촬영지,거제시
50,거제 해수보양온천,경상남도 거제시 수양로 507 (양정동),34.8909136,128.635258,055-638-3000,http://www.seaspa.co.kr/,2023-01-04,거제시,자연관광,온천과동굴,거제시
51,남해 설리스카이워크,경상남도 남해군 미조면 미송로303번길 176,34.70851435,128.0230709,070-4231-1117,https://www.instagram.com/seolri_skywalk/,2022-12-13,남해군,레저관광,레프팅과활동,남해설리스카이워크
52,창녕 영산 만년교,경남 창녕군 영산면 동리 433,35.45363319,128.5279207,055-530-1471,,2022-12-09,창녕군,문화관광,다리와도로,창녕군
53,창녕 산토끼노래동산,경상남도 창녕군 이방면 이방로 623,35.57772326,128.38358,055-533-1400,,2022-12-09,창녕군,문화관광,문화체험장,창녕군
54,합천 운석충돌구,경남 합천군 초계면 원당리 산 44,35.53658692,128.2280703,055-930-4664,,2022-12-09,합천군,자연관광,산과계곡,합천군
55,거창 수승대 출렁다리,경상남도 거창군 위천면 은하리길 2,35.76092327,127.8336769,055-940-8530,,2022-12-09,거창군,문화관광,다리와도로,거창군
56,의령 자굴산자연휴양림,경상남도 의령군 가례면 자굴산휴양로 23,35.3788838,128.2127651,055-572-0030,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030113,2022-12-09,의령군,자연관광,산과계곡,의령군
57,거제 근포땅굴,경남 거제시 남부면 저구리 450-1,34.7227496,128.5890553,055-639-3000,,2022-12-09,거제시,문화관광,기념물,거제시
58,거제 파노라마 케이블카,경상남도 거제시 동부면 거제중앙로 288,34.78430413,128.6329869,055-637-3311,http://www.gjcablecar.com/,2022-12-09,거제시,문화관광,공원과유원지,거제케이블카 주식회사
59,밀양 의열체험관,경상남도 밀양시 노상하1길 25-12 (내이동),35.49360903,128.7509368,055-351-0815,,2022-12-07,밀양시,문화관광,문화체험장,밀양시
60,김해 분산성,경남 김해시 어방동 971,35.24610669,128.8925459,055-330-3925,,2022-12-07,김해시,문화관광,사찰과건축물 ,김해시
61,김해 봉하마을,경상남도 김해시 진영읍 봉하로 103-1,35.31377765,128.7685671,055-346-0660,https://www.knowhow.or.kr/bongha/main.php,2022-12-07,김해시,문화관광,문화체험장,김해시
62,김해 분청도자박물관,경상남도 김해시 진례면 진례로 275-35,35.25149585,128.7458503,055-345-6037,,2022-12-07,김해시,문화관광,박물관과문화채널,김해시
63,창원 3.15 해양누리공원,경남 창원시 마산합포구 월남동1가 46-3,35.186242,128.5629583,055-225-6921,,2022-12-07,창원시,문화관광,공원과유원지,창원시
64,함안 입곡군립공원,경남 함안군 산인면 입곡리 1181,35.2648413,128.4478812,055-580-4596,https://www.haman.go.kr/04198/05800/05900.web?amode=view&idx=358,2022-12-07,함안군,자연관광,산과계곡,함안군
65,의령 구름다리,경남 의령군 의령읍 서동리 644-1,35.31843895,128.2488365,055-570-2830,,2022-12-07,의령군,문화관광,다리와도로,의령군
66,의령 이병철 생가,경상남도 의령군 정곡면 호암길 22-4,35.38215977,128.3231426,055-573-0723,,2022-12-07,의령군,문화관광,기념물,의령군
67,의령 솥바위,경상남도 의령군 의령읍 남강로 686,35.31387467,128.294871,055-570-2500,,2022-12-07,의령군,문화관광,기념물,의령군
68,밀양 얼음골,경남 밀양시 산내면 삼양리 185-1,35.58052778,128.9801024,055-356-5640,,2022-12-07,밀양시,자연관광,산과계곡,밀양시
69,통영 삼군수도통제영,경상남도 통영시 세병로 27 (문화동),34.84715495,128.423489,055-645-3805,,2022-12-07,통영시,문화관광,기념물,통영시
70,하동 플라이웨이 케이블카,경상남도 하동군 금남면 경충로 461-7,34.98066391,127.8954683,055-883-2000,https://hadongcablecar.com/,2022-12-06,하동군,문화관광,문화체험장,하동케이블카(주)
71,진주 월아산 숲속의 진주,경상남도 진주시 진성면 달음산로 313,35.199915,128.1941257,055-746-3670,https://www.jinju.go.kr/forestjinju/pearl/intro,2022-12-06,진주시,자연관광,산과계곡,진주시
72,진주 지수승산부자마을,경상남도 진주시 지수면 지수로 506,35.23642258,128.270696,055-746-7980,,2022-12-06,진주시,문화관광,박물관과문화채널,진주K-기업가정신센터
73,창원수목원,경남 창원시 성산구 삼동동 산 14-1,35.22813125,128.6558218,055-225-7121,,2022-12-06,창원시,문화관광,공원과유원지,창원시
74,사천 와인갤러리,경상남도 사천시 곤명면 경서대로 3552,35.13894653,127.988177,055-854-5800,https://xn--p49al7tolb65yuob.com/,2022-12-06,사천시,문화관광,박물관과문화채널,와인갤러리
75,양산 숲애(愛)서(徐),경상남도 양산시 탑골길 248 (용당동),35.41713031,129.2061651,055-379-8520,http://www.yssisul.or.kr/forest/,2022-11-16,양산시,자연관광,산과계곡,양산시
76,밀양 아리랑 우주천문대,경상남도 밀양시 밀양대공원로 86 (교동),35.50256573,128.7610785,055-359-4734,https://www.miryang.go.kr/astro/sub/sub0300.php,2022-11-16,밀양시,문화관광,박물관과문화채널,밀양시
