"번호","개방서비스명","개방서비스ID","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","한실수","양실수","욕실수","발한실여부","좌석수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","세탁기수","여성종사자수","남성종사자수","회수건조수","침대수","다중이용업소여부",""
"1","숙박업","03_11_03_P","5310000","5310000-214-2019-00001","20190222","","01","영업/정상","01","영업","","","","","055 760 9600","4875","660150","경상남도 진주시 동성동 212-11 골든튤립남강 4층-16층","경상남도 진주시 남강로673번길 16, 골든튤립남강 4층-16층 (동성동)","52758","골든튤립호텔남강","20210607162452","U","2021-06-09","숙박업(생활)","128.086542748487","35.1916536858339","숙박업(생활)","0","0","4","16","0","0","0","128","0","N","0","","","","","0","0","0","0","0","N","4817056500"
"2","숙박업","03_11_03_P","5310000","5310000-201-2019-00002","20190605","","01","영업/정상","01","영업","","","","","","269","660170","경상남도 진주시 장대동 102-15 2,3층","경상남도 진주시 장대로9번길 10, 2,3층 (장대동)","52758","화성장모텔","20210701100256","U","2021-07-03","여관업","","","여관업","0","0","0","0","0","0","6","6","0","N","0","","","","","0","0","0","0","0","N",""
"3","숙박업","03_11_03_P","5310000","5310000-201-2019-00001","20190402","","01","영업/정상","01","영업","","","","","055 740 9777","1696","660992","경상남도 진주시 평거동 787-4 월드빌딩1층~5층","경상남도 진주시 평거로6번길 7, 월드빌딩1층~5층 (평거동)","52702","부엉이호텔","20220621173035","U","2022-06-23","숙박업 기타","128.063134649028","35.1711147976168","숙박업 기타","5","0","0","0","0","0","0","35","0","N","0","","","","","0","0","0","0","0","N","4817071000"
"4","숙박업","03_11_03_P","5310000","5310000-201-2019-00003","20190930","","01","영업/정상","01","영업","","","","","","5954","660031","경상남도 진주시 충무공동 38-2","경상남도 진주시 에나로 103-9, 지하1,2,3/지상6,7,8,9,10층 (충무공동)","52851","(주)브라운도트호텔","20210927105335","U","2021-09-29","숙박업 기타","","","숙박업 기타","0","0","0","0","0","0","0","76","0","N","0","","","","","0","0","0","0","0","Y",""
"5","숙박업","03_11_03_P","5310000","5310000-201-1987-00013","19871021","","01","영업/정상","01","영업","","","","","055 7418865","402","660980","경상남도 진주시 옥봉동 808-9","경상남도 진주시 논개길 77 (옥봉동)","52759","서림모텔","20220513133910","U","2022-05-15","여관업","128.090016727616","35.1908081402518","여관업","0","0","0","0","0","0","7","9","0","N","0","","","","","0","0","0","0","0","N","4817056500"
"6","숙박업","03_11_03_P","5310000","5310000-201-1987-00001","19870226","","01","영업/정상","01","영업","","","","","055 746 7317","277","660170","경상남도 진주시 장대동 133-12 13,15","경상남도 진주시 진양호로564번길 18-2 (장대동,13,15)","52758","남강모텔","20210622101119","U","2021-06-24","여관업","128.087401748243","35.192838484976","여관업","0","0","0","0","0","0","5","7","0","N","0","","","","","0","","","0","0","N","4817056500"
"7","숙박업","03_11_03_P","5310000","5310000-201-2016-00003","20160906","","01","영업/정상","01","영업","","","","","055 748 2292","799","660170","경상남도 진주시 장대동 104-7 2층~5층","경상남도 진주시 장대로15번길 15 (장대동, 2층~5층)","52758","킹모텔","20220114100346","U","2022-01-16","여관업","128.087221992355","35.1924165782728","여관업","0","0","0","0","0","0","1","18","0","N","0","","","","","0","0","0","0","0","N","4817056500"
"8","숙박업","03_11_03_P","5310000","5310000-201-1994-00013","19941004","","01","영업/정상","01","영업","","","","","055 753 2001","426","660902","경상남도 진주시 상평동 301-8","경상남도 진주시 대신로106번길 14 (상평동)","52812","디바모텔","20211108154929","U","2021-11-10","여관업","128.119567092524","35.169516296217","여관업","0","0","0","0","0","0","6","9","0","N","0","","","","","0","0","0","0","0","N","4817068000"
"9","숙박업","03_11_03_P","5310000","5310000-201-1989-00003","19891030","","01","영업/정상","01","영업","","","","","055 7546399","488","660863","경상남도 진주시 일반성면 창촌리 81-5","경상남도 진주시 일반성면 창촌길 84","52616","정원장모텔","20210929095507","U","2021-10-01","여관업","128.2829026223","35.1709887233002","여관업","0","0","0","0","0","0","6","12","0","N","0","","","","","0","0","0","0","0","N","4817036000"
"10","숙박업","03_11_03_P","5310000","5310000-201-2020-00001","20200220","","01","영업/정상","01","영업","","","","","055 753 3337","1329","660803","경상남도 진주시 상대동 197-7 1~7층","경상남도 진주시 도동천로 189, 1~7층 (상대동)","52775","온도호텔","20220218113233","U","2022-02-20","일반호텔","","","일반호텔","0","0","0","0","0","0","0","30","0","N","0","","","","","0","0","0","0","0","N",""
