사업장명,지번주소,도로명주소,인허가일자,영업상태,상세영업상태
날개,경상남도 진주시 대안동 20-3 ,경상남도 진주시 진양호로527번길 4-1 (대안동),2018-03-15,영업/정상,영업중
문희정아트홀,경상남도 진주시 충무공동 29-6번지 ,경상남도 진주시 에나로77번길 12 (충무공동),2017-07-07,영업/정상,영업중
VK아트홀,경상남도 진주시 내동면 470-1 ,경상남도 진주시 내동면 내동로 213,2016-02-04,영업/정상,영업중
현장아트홀,경상남도 진주시 동성동 5-5 ,경상남도 진주시 진주대로 1038 (동성동),2007-09-20,영업/정상,영업중
진주시 전통예술회관 공연장,경상남도 진주시 판문동 산 171-1번지 ,경상남도 진주시 남강로1번길 96-6 (판문동),2003-03-08,영업/정상,영업중
경상남도 문화예술회관 대공연장,경상남도 진주시 칠암동 500-15번지 ,경상남도 진주시 강남로 215 (칠암동),2003-03-08,영업/정상,영업중
해피킹호(2층),경상남도 통영시 도남동 634번지 ,경상남도 통영시 도남로 269-38 (도남동),2013-05-09,영업/정상,영업중
통영서커스,경상남도 통영시 용남면 장평리 21-1번지 ,경상남도 통영시 용남면 남해안대로 30,2014-03-31,영업/정상,영업중
통영국제음악당(블랙박스),경상남도 통영시 도남동 1 ,경상남도 통영시 큰발개1길 38 (도남동),2014-05-13,영업/정상,영업중
통영세계문화콘텐츠 공연,경상남도 통영시 도남동 645-2번지 ,경상남도 통영시 큰발개2길 10 (도남동),2013-01-02,영업/정상,영업중
통영국제음악당(콘서트홀),경상남도 통영시 도남동 1 ,경상남도 통영시 큰발개1길 38 (도남동),2014-05-13,영업/정상,영업중
해피킹호(1층),경상남도 통영시 도남동 634번지 ,경상남도 통영시 도남로 269-38 (도남동),2013-05-09,영업/정상,영업중
한려수도호,경상남도 사천시 대방동 765-3번지 ,경상남도 사천시 유람선길 70 (대방동),2012-01-02,영업/정상,영업중
사천시문화예술회관 대공연장,경상남도 사천시 동림동 190번지 ,"경상남도 사천시 삼천포대교로 471 (동림동, 사천시문화예술회관)",2002-03-11,영업/정상,영업중
사천시문화예술회관 소공연장,경상남도 사천시 동림동 190번지 ,"경상남도 사천시 삼천포대교로 471 (동림동, 사천시문화예술회관)",2002-03-11,영업/정상,영업중
사천세계문화콘텐츠 상설공연장,경상남도 사천시 실안동 1244-2번지 ,,2017-07-18,영업/정상,영업중
훼밀리호,경상남도 사천시 대방동 765-3번지 ,경상남도 사천시 유람선길 70 (대방동),2012-01-02,영업/정상,영업중
김해시립공연장,경상남도 김해시 삼방동 192번지 ,경상남도 김해시 활천로285번길 14 (삼방동),2004-10-06,영업/정상,영업중
