사업장명,지번주소,도로명주소,인허가일자,영업상태,상세영업상태,구분
거제랜드,경상남도 거제시 고현동 362번지 거제포로수용소유적공원 ,"경상남도 거제시 계룡로 61, 거제포로수용소유적공원 (고현동)",2019-05-03,영업/정상,영업중,일반유원시설업
쌍계사,경상남도 하동군 화개면 운수리 208 ,경상남도 하동군 화개면 쌍계사길 59,1988-06-10,영업/정상,,전통사찰
리틀비틀(죽림점),경상남도 통영시 광도면 죽림리 1575-7 알파문구 ,"경상남도 통영시 광도면 죽림2로 49-27, 알파문구 2층",2018-11-22,영업/정상,영업중,유원시설업(기타)
용원 트램플린 방방,경상남도 창원시 진해구 용원동 1211-1 ,"경상남도 창원시 진해구 안골로 348, 2층 202,203호 (용원동, 용원그랜드쇼핑)",2017-09-05,영업/정상,영업중,유원시설업(기타)
합천휴테마파크,경상남도 합천군 용주면 가호리 1180 ,경상남도 합천군 용주면 영상로 172,2020-12-14,영업/정상,영업중,유원시설업(기타)
롯데워터파크,경상남도 김해시 신문동 1417 ,경상남도 김해시 장유로 555 (신문동),2014-05-01,영업/정상,영업중,종합유원시설업
(주)타요키즈카페 롯데몰 진주점,경상남도 진주시 충무공동 35번지 ,"경상남도 진주시 동진로 440, 4층 (충무공동)",2016-09-26,영업/정상,영업중,유원시설업(기타)
낙동강남지유채마을협동조합,경상남도 창녕군 남지읍 남지리 663-7 ,경상남도 창녕군 남지읍 낙동로 483,2016-04-08,영업/정상,영업중,일반유원시설업
차타타진주점,경상남도 진주시 평거동 902번지 ,경상남도 진주시 순환로 541 (평거동),2016-03-21,영업/정상,영업중,유원시설업(기타)
야사노,경상남도 진주시 대안동 16-10번지 ,"경상남도 진주시 촉석로 189, 지하1층 (대안동)",2016-02-04,영업/정상,영업중,유원시설업(기타)
플레이방방,경상남도 진주시 상대동 300-80번지 4층 ,"경상남도 진주시 도동천로 84, 4층 (상대동)",2015-04-09,영업/정상,영업중,유원시설업(기타)
플레이방방,경상남도 진주시 신안동 439-8번지 ,경상남도 진주시 진양호로 352 (신안동),2014-08-21,영업/정상,영업중,유원시설업(기타)
노리파크 초전점,경상남도 진주시 초전동 1702-11번지 ,"경상남도 진주시 초북로20번길 30-12, 3~4층 (초전동)",2017-07-20,영업/정상,영업중,유원시설업(기타)
아이키키,경상남도 진주시 충무공동 289-4번지 ,"경상남도 진주시 에나로128번길 26, 10층 (충무공동)",2017-10-27,영업/정상,영업중,유원시설업(기타)
정글어드벤쳐,경상남도 진주시 판문동 97번지 ,"경상남도 진주시 판문로 155, 2층 (판문동)",2017-08-22,영업/정상,영업중,유원시설업(기타)
점프짱,경상남도 진주시 초전동 1704-7번지 ,경상남도 진주시 초북로20번길 27-3 (초전동),2016-09-08,영업/정상,영업중,유원시설업(기타)
펀스펀스,경상남도 진주시 평거동 908번지 ,"경상남도 진주시 새평거로 129, 3층 (평거동)",2019-01-11,영업/정상,영업중,유원시설업(기타)
주니어1234,경상남도 진주시 평거동 925번지 ,"경상남도 진주시 순환로 503, 201~203호 (평거동)",2019-07-08,영업/정상,영업중,유원시설업(기타)
키즈다쿵시즌2,경상남도 진주시 평거동 925번지 ,"경상남도 진주시 순환로 503, 204~209호 (평거동)",2019-07-08,영업/정상,영업중,유원시설업(기타)
아기코끼리,경상남도 통영시 광도면 죽림리 1570-17번지 ,경상남도 통영시 광도면 죽림4로 33,2019-04-01,영업/정상,영업중,유원시설업(기타)
키즈팡팡 무전점,경상남도 통영시 무전동 1028-6번지 신유빌딩 ,"경상남도 통영시 무전6길 16, 신유빌딩 301호 (무전동)",2018-06-12,영업/정상,영업중,유원시설업(기타)
플레이방방랜드,경상남도 통영시 광도면 죽림리 1577-4 동성프라자 101호,"경상남도 통영시 광도면 죽림1로 17-51, 동성프라자",2019-01-04,영업/정상,영업중,유원시설업(기타)
사천첨단항공우주과학관,경상남도 사천시 사남면 유천리 908 사천첨단항공우주과학관 ,"경상남도 사천시 사남면 공단1로 108, 사천첨단항공우주과학관",2019-02-01,영업/정상,영업중,유원시설업(기타)
롤리폴리 삼천포벌리점,경상남도 사천시 벌리동 270-3번지 ,경상남도 사천시 주공로 41 (벌리동),2015-03-23,영업/정상,영업중,유원시설업(기타)
롤리폴리,경상남도 사천시 정동면 고읍리 602-18 제이엠팰리스(2층) ,경상남도 사천시 정동면 진삼로 1378,2014-06-26,영업/정상,영업중,유원시설업(기타)
롤리폴리 사남점,경상남도 사천시 사남면 월성리 546-2번지 (2층) ,경상남도 사천시 사남면 조동길 50-10,2014-06-26,영업/정상,영업중,유원시설업(기타)
샤랄랄라 키즈카페,경상남도 김해시 삼계동 1502-2 삼성아동병원 3층 ,"경상남도 김해시 삼계중앙로 36, 삼성아동병원 3층 (삼계동)",2018-01-23,영업/정상,영업중,유원시설업(기타)
온가족 놀이터,경상남도 김해시 동상동 992-12번지 ,경상남도 김해시 분성로 337 (동상동),2016-11-07,영업/정상,영업중,유원시설업(기타)
야사노,경상남도 김해시 외동 1259-2번지 힐튼상가 401호,"경상남도 김해시 함박로119번길 23, 401호 (외동, 힐튼상가)",2016-09-08,영업/정상,영업중,유원시설업(기타)
마크원,경상남도 김해시 외동 1252-2번지 삼우빌딩 108호,"경상남도 김해시 함박로101번길 22, 108호 (외동, 삼우빌딩)",2016-08-17,영업/정상,영업중,유원시설업(기타)
헬로방방 김해율하,경상남도 김해시 율하동 1335-1번지 경보월드 ,"경상남도 김해시 율하2로97번길 22, 경보월드 7층 (율하동)",2018-02-12,영업/정상,영업중,유원시설업(기타)
스카이 봉봉장,경상남도 김해시 삼계동 1422-4 ,,2018-07-02,영업/정상,영업중,유원시설업(기타)
닥터밸런스 김해점,경상남도 김해시 신문동 1414번지 롯데아울렛신관 ,"경상남도 김해시 장유로 469, 롯데아울렛신관 4층 (신문동)",2018-05-01,영업/정상,영업중,유원시설업(기타)
장유스파랜드,경상남도 김해시 삼문동 562-12번지 ,"경상남도 김해시 대청로104번길 84, 장유스파랜드 (삼문동)",2018-08-23,영업/정상,영업중,유원시설업(기타)
더놀다 김해율하점,경상남도 김해시 율하동 1351-4 경원프라자 301호,"경상남도 김해시 율하3로 54, 경원프라자 3층 1호 (율하동)",2019-10-24,영업/정상,영업중,유원시설업(기타)
키즈팡팡 김해외동점,경상남도 김해시 외동 1253-3 경원빌딩 401호,"경상남도 김해시 함박로101번길 8, 경원빌딩 4층 (외동)",2019-07-15,영업/정상,영업중,유원시설업(기타)
잼팍어드벤쳐,경상남도 김해시 대청동 52-1번지 601~3호,"경상남도 김해시 번화1로79번길 26, 로젠잼팍빌딩 6층 (대청동)",2019-08-08,영업/정상,영업중,유원시설업(기타)
키즈박스,경상남도 김해시 주촌면 선지리 1016-2 402~4호,"경상남도 김해시 주촌면 선지로97번길 6, 에이스 프라자 4층 2~4호",2019-11-20,영업/정상,영업중,유원시설업(기타)
그린고속관광(주),경상남도 창원시 성산구 중앙동 101-1 경남오피스텔 1003호,"경상남도 창원시 성산구 중앙대로 37, 경남오피스텔 10층 1003호 (중앙동)",2010-09-14,영업/정상,영업중,시내순환관광업
주식회사 굿플레이,경상남도 김해시 외동 1264 신세계백화점 5층 ,"경상남도 김해시 김해대로 2232, 신세계백화점 5층 (외동)",2019-11-26,영업/정상,영업중,유원시설업(기타)
샤랄랄라 키즈카페,경상남도 김해시 부곡동 1159-3 베스트월드 501호,"경상남도 김해시 능동로155번길 10-21, 베스트월드 5층 501호 (부곡동)",2019-03-28,영업/정상,영업중,유원시설업(기타)
오렌지가족오락테마파크,경상남도 김해시 외동 1249-4번지 한국2차아파트 주상가동 지하201호,"경상남도 김해시 함박로 102, 주상가동 지하2층 201호 (외동, 한국2차아파트)",2019-03-15,영업/정상,영업중,유원시설업(기타)
아이스퀘어몰 김해점 챔피언,경상남도 김해시 부원동 1043번지 ,"경상남도 김해시 김해대로 2342, A202호 (부원동)",2018-10-12,영업/정상,영업중,유원시설업(기타)
J키즈카페,경상남도 김해시 동상동 745-1번지 ,"경상남도 김해시 호계로 488, 김해제일교회 (동상동)",2018-11-15,영업/정상,영업중,유원시설업(기타)
신세계백화점 김해점 리틀란드,경상남도 김해시 외동 1264번지 ,"경상남도 김해시 김해대로 2232, 신세계백화점 2층 (외동)",2018-10-02,영업/정상,영업중,유원시설업(기타)
