,index,Unnamed: 0,시군구,소재지,Latitude,Longitude,구분,geometry,facility_id,버스정류장,자전거정류장,주차장,지하철
,2,10,김해시,김해시 김해대로 2062 (내동),35.2424768,128.8631869,문화예술회관,POINT (128.8631869 35.2424768),0,0.0,0.0,0.0,0.0
,3,13,창원시,창원시 진해구 진해대로 325 (태백동),35.1698332,128.6660838,문화예술회관,POINT (128.6660838 35.1698332),1,0.0,0.0,0.0,0.0
0.0,4,14,창원시,창원시 마산회원구 삼호로 135,35.2258547,128.5772581,문화예술회관,POINT (128.5772581 35.2258547),2,26.0,5.0,3.0,0.0
,5,15,창원시,창원시 의창구 중앙로 181 (용호동),35.2340868,128.6818106,문화예술회관,POINT (128.6818106 35.2340868),3,0.0,0.0,0.0,0.0
1.0,6,3,김해시,김해시 진례면 진례로 275-51,35.2504743,128.7449535,미술관,POINT (128.7449535 35.2504743),4,7.0,4.0,0.0,0.0
2.0,7,4,창원시,창원시 의창구 대산면 유등로,35.3373751,128.7377228,미술관,POINT (128.7377228 35.3373751),5,4.0,6.0,1.0,0.0
3.0,8,6,창원시,창원시 마산합포구 문신1길 71 (추산동),35.2048601,128.5709784,미술관,POINT (128.5709784 35.2048601),6,8.0,1.0,1.0,0.0
4.0,9,7,창원시,창원시 의창구 용지로 296(경남도립미술관),35.2394936,128.6908218,미술관,POINT (128.6908218 35.2394936),7,1.0,0.0,0.0,0.0
5.0,10,17,김해시,경상남도 김해시 삼방동 192번지,35.2445406,128.9102038,공연장,POINT (128.9102038 35.2445406),8,24.0,1.0,1.0,0.0
6.0,11,18,김해시,경상남도 김해시 대청동 299번지 17통4반,35.1916555,128.798513,공연장,POINT (128.798513 35.1916555),9,34.0,7.0,0.0,0.0
7.0,12,19,김해시,경상남도 김해시 외동 1261-4번지,35.2316307,128.8706987,공연장,POINT (128.8706987 35.2316307),10,17.0,2.0,2.0,0.0
8.0,13,20,김해시,경상남도 김해시 내동 1131번지,35.2436551,128.8698995,공연장,POINT (128.8698995 35.2436551),11,20.0,4.0,0.0,0.0
9.0,14,21,김해시,경상남도 김해시 내동 1131번지,35.2436551,128.8698995,공연장,POINT (128.8698995 35.2436551),12,34.0,23.0,2.0,1.0
10.0,15,22,김해시,경상남도 김해시 봉황동 461-3번지,35.232751,128.8743868,공연장,POINT (128.8743868 35.232751),13,31.0,16.0,1.0,1.0
11.0,16,23,김해시,경상남도 김해시 내동 1131번지,35.2436551,128.8698995,공연장,POINT (128.8698995 35.2436551),14,31.0,16.0,1.0,1.0
12.0,17,24,김해시,경상남도 김해시 진영읍 여래리 530-2번지,35.3043728,128.7370017,공연장,POINT (128.7370017 35.3043728),15,26.0,10.0,5.0,1.0
13.0,18,25,김해시,경상남도 김해시 어방동 993번지,35.25273,128.8905637,공연장,POINT (128.8905637 35.25273),16,31.0,16.0,1.0,1.0
14.0,19,26,김해시,경상남도 김해시 율하동 1377번지,35.1726125,128.820823,공연장,POINT (128.820823 35.1726125),17,49.0,5.0,1.0,0.0
15.0,23,52,창원시,경상남도 창원시 마산합포구 구산면 반동리 산 121-1,35.0802855,128.5843801,공연장,POINT (128.5843801 35.0802855),18,0.0,0.0,2.0,0.0
16.0,24,53,창원시,경상남도 창원시 마산회원구 양덕동 532-3번지,35.2258547,128.5772581,공연장,POINT (128.5772581 35.2258547),19,25.0,3.0,0.0,0.0
,25,54,창원시,경상남도 창원시 진해구 덕산동 584-1번지,35.1427416999999,128.6908946,공연장,POINT (128.6908946 35.1427416999999),20,0.0,0.0,0.0,0.0
,26,55,창원시,경상남도 창원시 의창구 명서동 199-2 대호상가지하1호,35.2429836,128.6485964,공연장,POINT (128.6485964 35.2429836),21,0.0,0.0,0.0,0.0
,27,56,창원시,경상남도 창원시 의창구 용호동 2번지,35.2296016,128.6833355,공연장,POINT (128.6833355 35.2296016),22,0.0,0.0,0.0,0.0
17.0,28,57,창원시,경상남도 창원시 의창구 팔용동 30-1 뉴코아아울렛 4263호,35.234597,128.641997,공연장,POINT (128.641997 35.234597),23,1.0,0.0,0.0,0.0
18.0,29,58,창원시,경상남도 창원시 의창구 용호동 73-1번지 레이크펄스 602호,35.2306365,128.6806786,공연장,POINT (128.6806786 35.2306365),24,7.0,4.0,0.0,0.0
19.0,30,59,창원시,경상남도 창원시 마산회원구 양덕동 532-3번지,35.2258547,128.5772581,공연장,POINT (128.5772581 35.2258547),25,0.0,2.0,0.0,0.0
20.0,31,60,창원시,경상남도 창원시 진해구 태백동 98번지,35.1691827,128.6596358,공연장,POINT (128.6596358 35.1691827),26,20.0,10.0,0.0,0.0
21.0,32,61,창원시,경상남도 창원시 의창구 용호동 2번지,35.2296016,128.6833355,공연장,POINT (128.6833355 35.2296016),27,17.0,12.0,2.0,0.0
22.0,33,62,창원시,"경상남도 창원시 성산구 중앙동 95-1 하이페르빌딩 지하 1,2층 ",35.2241192,128.67807,공연장,POINT (128.67807 35.2241192),28,20.0,6.0,3.0,0.0
23.0,34,63,김해시,경상남도 김해시 장유동 839-5 n스퀘어,35.1706691,128.8224876,공연장,POINT (128.8224876 35.1706691),29,16.0,12.0,4.0,0.0
24.0,35,64,창원시,경상남도 창원시 성산구 중앙동 93-1 지하101~103호,35.2247917,128.6798657,공연장,POINT (128.6798657 35.2247917),30,7.0,4.0,0.0,0.0
25.0,36,65,김해시,경상남도 김해시 동상동 497-13,35.2365203,128.8897963,공연장,POINT (128.8897963 35.2365203),31,4.0,1.0,0.0,0.0
26.0,37,66,창원시,경상남도 창원시 성산구 중앙동 97-6 켄버라타운 지하2층 201호,35.2212077,128.6768256,공연장,POINT (128.6768256 35.2212077),32,17.0,12.0,2.0,0.0
27.0,38,67,창원시,"경상남도 창원시 성산구 중앙동 99-1 메가플렉스 지하 1,2층 ",35.2213491,128.6757204,공연장,POINT (128.6757204 35.2213491),33,17.0,10.0,3.0,0.0
28.0,39,68,창원시,경상남도 창원시 성산구 가음동 7-3 가음정빌딩,35.2094117,128.6887881,공연장,POINT (128.6887881 35.2094117),34,27.0,2.0,0.0,0.0
29.0,40,71,창원시,경상남도 창원시 마산합포구 창동 64-10 1층,35.2065274,128.5743416,공연장,POINT (128.5743416 35.2065274),35,19.0,12.0,4.0,0.0
30.0,41,72,김해시,경상남도 김해시 봉황동 114,35.2287971,128.8769328,공연장,POINT (128.8769328 35.2287971),36,14.0,0.0,0.0,0.0
31.0,42,74,창원시,경상남도 창원시 성산구 용호동 73-24 세원상가,35.2299967,128.681028,공연장,POINT (128.681028 35.2299967),37,14.0,9.0,3.0,0.0
32.0,43,76,창원시,경상남도 창원시 마산회원구 내서읍 중리 1054 백로아파트,35.2437032,128.5059709,공연장,POINT (128.5059709 35.2437032),38,12.0,5.0,3.0,0.0
33.0,44,3,창원시,경상남도 창원시 진해구 용원동 1211-1,35.1020429,128.8103006,유원시설업(기타),POINT (128.8103006 35.1020429),39,3.0,7.0,0.0,0.0
34.0,45,5,김해시,경상남도 김해시 신문동 1417,35.1804063,128.8286965,종합유원시설업,POINT (128.8286965 35.1804063),40,24.0,2.0,1.0,0.0
35.0,46,26,김해시,경상남도 김해시 삼계동 1502-2 삼성아동병원 3층,35.2604136,128.8690663,유원시설업(기타),POINT (128.8690663 35.2604136),41,25.0,8.0,3.0,1.0
36.0,47,27,김해시,경상남도 김해시 동상동 992-12번지,35.2337278,128.8828488,유원시설업(기타),POINT (128.8828488 35.2337278),42,16.0,12.0,3.0,0.0
37.0,48,28,김해시,경상남도 김해시 외동 1259-2번지 힐튼상가 401호,35.2340715,128.8673397,유원시설업(기타),POINT (128.8673397 35.2340715),43,9.0,1.0,0.0,0.0
