,시군구,소재지,구분
2,산청군,산청군 금서면 친환경로2631번길 12,문화예술회관
7,의령군,의령군 의령읍 의병로24길 31-1,문화예술회관
10,김해시,김해시 김해대로 2062 (내동),문화예술회관
13,창원시,창원시 진해구 진해대로 325 (태백동),문화예술회관
14,창원시,창원시 마산회원구 삼호로 135,문화예술회관
15,창원시,창원시 의창구 중앙로 181 (용호동),문화예술회관
3,김해시,김해시 진례면 진례로 275-51,미술관
4,창원시,창원시 의창구 대산면 유등로,미술관
6,창원시,창원시 마산합포구 문신1길 71 (추산동),미술관
7,창원시,창원시 의창구 용지로 296(경남도립미술관),미술관
17,김해시,경상남도 김해시 삼방동 192번지 ,공연장
18,김해시,경상남도 김해시 대청동 299번지 17통4반 ,공연장
19,김해시,경상남도 김해시 외동 1261-4번지 ,공연장
20,김해시,경상남도 김해시 내동 1131번지 ,공연장
21,김해시,경상남도 김해시 내동 1131번지 ,공연장
22,김해시,경상남도 김해시 봉황동 461-3번지 ,공연장
23,김해시,경상남도 김해시 내동 1131번지 ,공연장
24,김해시,경상남도 김해시 진영읍 여래리 530-2번지 ,공연장
25,김해시,경상남도 김해시 어방동 993번지 ,공연장
26,김해시,경상남도 김해시 율하동 1377번지 ,공연장
36,의령군,경상남도 의령군 의령읍 동동리 877-24번지 ,공연장
44,산청군,경상남도 산청군 금서면 매촌리 80번지 ,공연장
45,산청군,경상남도 산청군 금서면 매촌리 80번지 ,공연장
52,창원시,경상남도 창원시 마산합포구 구산면 반동리 산 121-1 ,공연장
53,창원시,경상남도 창원시 마산회원구 양덕동 532-3번지 ,공연장
54,창원시,경상남도 창원시 진해구 덕산동 584-1번지 ,공연장
55,창원시,경상남도 창원시 의창구 명서동 199-2 대호상가지하1호 ,공연장
56,창원시,경상남도 창원시 의창구 용호동 2번지 ,공연장
57,창원시,경상남도 창원시 의창구 팔용동 30-1 뉴코아아울렛 4263호,공연장
